ds,y
2000-01-03,200
2000-01-04,200
2000-01-05,200
2000-01-06,200
2000-01-07,200
2000-01-11,255
2000-01-12,255
2000-01-13,310
2000-01-14,250
2000-01-17,275
2000-01-18,275
2000-01-19,275
2000-01-20,275
2000-01-21,275
2000-01-24,275
2000-01-25,250
2000-01-26,250
2000-01-27,200
2000-01-28,200
2000-01-31,200
2000-02-01,200
2000-02-02,200
2000-02-03,200
2000-02-04,200
2000-02-07,200
2000-02-08,200
2000-02-09,250
2000-02-10,250
2000-02-11,250
2000-02-14,250
2000-02-15,250
2000-02-16,250
2000-02-17,250
2000-02-18,250
2000-02-21,250
2000-02-22,250
2000-02-23,250
2000-02-24,250
2000-02-25,250
2000-02-28,250
2000-02-29,250
2000-03-01,250
2000-03-02,250
2000-03-03,250
2000-03-06,250
2000-03-07,250
2000-03-08,250
2000-03-09,250
2000-03-10,250
2000-03-13,250
2000-03-14,250
2000-03-15,250
2000-03-16,250
2000-03-17,250
2000-03-21,250
2000-03-22,250
2000-03-23,250
2000-03-24,250
2000-03-27,250
2000-03-28,250
2000-03-29,250
2000-03-30,250
2000-03-31,250
2000-04-03,250
2000-04-04,250
2000-04-05,250
2000-04-06,250
2000-04-07,250
2000-04-10,250
2000-04-11,250
2000-04-12,250
2000-04-13,250
2000-04-14,250
2000-04-17,250
2000-04-18,250
2000-04-19,250
2000-04-24,250
2000-04-25,250
2000-04-26,250
2000-04-27,250
2000-04-28,250
2000-05-02,350
2000-05-03,350
2000-05-04,350
2000-05-05,350
2000-05-08,350
2000-05-09,350
2000-05-10,350
2000-05-11,350
2000-05-12,350
2000-05-15,350
2000-05-16,350
2000-05-17,350
2000-05-18,350
2000-05-19,350
2000-05-22,350
2000-05-23,350
2000-05-24,350
2000-05-25,350
2000-05-26,350
2000-05-29,350
2000-05-30,350
2000-05-31,350
2000-06-02,250
2000-06-06,250
2000-06-07,250
2000-06-08,250
2000-06-09,250
2000-06-12,250
2000-06-13,250
2000-06-14,250
2000-06-15,250
2000-06-16,250
2000-06-19,250
2000-06-20,250
2000-06-21,250
2000-06-22,250
2000-06-23,250
2000-06-27,250
2000-06-28,250
2000-06-29,250
2000-06-30,250
2000-07-07,250
2000-07-10,250
2000-07-11,250
2000-07-12,250
2000-07-13,250
2000-07-14,250
2000-07-17,250
2000-07-18,250
2000-07-19,250
2000-07-21,250
2000-07-24,250
2000-07-25,250
2000-07-26,250
2000-07-27,250
2000-07-28,250
2000-07-31,200
2000-08-01,200
2000-08-02,200
2000-08-03,200
2000-08-04,200
2000-08-08,200
2000-08-09,200
2000-08-10,200
2000-08-11,200
2000-08-14,200
2000-08-15,200
2000-08-16,200
2000-08-17,200
2000-08-18,200
2000-08-22,200
2000-08-23,200
2000-08-24,200
2000-08-25,200
2000-08-28,200
2000-08-29,200
2000-08-30,200
2000-08-31,200
2000-09-01,200
2000-09-04,200
2000-09-05,200
2000-09-06,200
2000-09-07,200
2000-09-08,200
2000-09-11,200
